date,country,indicator,time,issue_type,action_taken,decision_owner,evidence_link,notes
2025-11-29,Egypt,Budget Deficit/Surplus,2007-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 48.28% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2008-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 25.37% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2009-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 18.08% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2010-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 6.60% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2011-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 27.53% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2012-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 29.95% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2013-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 26.60% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2014-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 40.97% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2015-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 18.14% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2016-01-01T00:00:00,duplicate_same_frequency,Values within 1% range; retained maximum absolute amount as representative.,GPT-5 Codex automation,fiscal_data_deduped.csv,Kept Yearly record (-244653.0); dropped 1 alternatives.
2025-11-29,Egypt,Budget Deficit/Surplus,2017-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 24.26% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2018-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 32.90% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2019-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 28.13% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2020-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 29.70% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2021-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 27.14% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2022-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 23.58% across 2 Yearly records.
2025-11-29,Egypt,Budget Deficit/Surplus,2023-01-01T00:00:00,duplicate_conflict,Retained maximum absolute value for provisional dataset; escalated for manual review.,GPT-5 Codex automation,fiscal_duplicates_manual_review.csv,Relative difference 11.26% across 2 Yearly records.
2025-11-29,Nigeria,Budget Deficit/Surplus,2010-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2011-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2012-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2013-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2014-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2015-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2016-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2017-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2018-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2019-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2020-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2021-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2022-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2023-01-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 2 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2010-04-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2010-07-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2010-10-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2011-04-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2011-07-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2011-10-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2012-04-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2012-07-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2012-10-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2013-04-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2013-07-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2013-10-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2014-04-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2014-07-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2014-10-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2015-04-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2015-07-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2015-10-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
2025-11-29,Nigeria,Budget Deficit/Surplus,2016-04-01T00:00:00,duplicate_frequency,Kept higher-frequency observation; removed lower-priority frequencies.,GPT-5 Codex automation,fiscal_data_deduped.csv,Dropped 1 lower-frequency rows.
