Country,Indicator,Source,Unit,Currency,Frequency,Country Code,Time,Amount,Amount_numeric,Year,Month,Quarter,Unit_key,Unit_category,Unit_multiplier,Amount_standardised,Amount_fraction,is_duplicate
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2007-01-01,-56213,-56213.0,2007.0,1.0,1.0,million,currency_billions,0.001,-56.213,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-01-01,-67563,-67563.0,2008.0,1.0,1.0,million,currency_billions,0.001,-67.563,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-01-01,-72379,-72379.0,2009.0,1.0,1.0,million,currency_billions,0.001,-72.379,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-01-01,-98886,-98886.0,2010.0,1.0,1.0,million,currency_billions,0.001,-98.886,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-01-01,-134138,-134138.0,2011.0,1.0,1.0,million,currency_billions,0.001,-134.138,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-01-01,-165689,-165689.0,2012.0,1.0,1.0,million,currency_billions,0.001,-165.689,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-01-01,-246853,-246853.0,2013.0,1.0,1.0,million,currency_billions,0.001,-246.853,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-01-01,-254715,-254715.0,2014.0,1.0,1.0,million,currency_billions,0.001,-254.715,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-01-01,-284314,-284314.0,2015.0,1.0,1.0,million,currency_billions,0.001,-284.314,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-01-01,-244653,-244653.0,2016.0,1.0,1.0,million,currency_billions,0.001,-244.653,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-01-01,-366401,-366401.0,2017.0,1.0,1.0,million,currency_billions,0.001,-366.401,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-01-01,-425385,-425385.0,2018.0,1.0,1.0,million,currency_billions,0.001,-425.385,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-01-01,-423019,-423019.0,2019.0,1.0,1.0,million,currency_billions,0.001,-423.019,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-01-01,-408509,-408509.0,2020.0,1.0,1.0,million,currency_billions,0.001,-408.509,,True
